m6,m5,m4,m3,m2,m1,n
33.104,33.348,32.99,33.754,32.329,32.272,32.253
33.348,32.99,33.754,32.329,32.272,32.253,31.643
32.99,33.754,32.329,32.272,32.253,31.643,31.09
33.754,32.329,32.272,32.253,31.643,31.09,29.652
32.329,32.272,32.253,31.643,31.09,29.652,30.176
32.272,32.253,31.643,31.09,29.652,30.176,29.871
32.253,31.643,31.09,29.652,30.176,29.871,30.011
31.643,31.09,29.652,30.176,29.871,30.011,30.214
31.09,29.652,30.176,29.871,30.011,30.214,29.975
29.652,30.176,29.871,30.011,30.214,29.975,30.227
30.176,29.871,30.011,30.214,29.975,30.227,31.007
29.871,30.011,30.214,29.975,30.227,31.007,30.72
30.011,30.214,29.975,30.227,31.007,30.72,29.946
30.214,29.975,30.227,31.007,30.72,29.946,30.082
29.975,30.227,31.007,30.72,29.946,30.082,30.465
30.227,31.007,30.72,29.946,30.082,30.465,30.249
31.007,30.72,29.946,30.082,30.465,30.249,30.918
30.72,29.946,30.082,30.465,30.249,30.918,30.408
29.946,30.082,30.465,30.249,30.918,30.408,31.11
30.082,30.465,30.249,30.918,30.408,31.11,31.529
30.465,30.249,30.918,30.408,31.11,31.529,31.542
30.249,30.918,30.408,31.11,31.529,31.542,31.81
30.918,30.408,31.11,31.529,31.542,31.81,31.932
30.408,31.11,31.529,31.542,31.81,31.932,32.177
31.11,31.529,31.542,31.81,31.932,32.177,32.177
31.529,31.542,31.81,31.932,32.177,32.177,32.439
31.542,31.81,31.932,32.177,32.177,32.439,31.722
31.81,31.932,32.177,32.177,32.439,31.722,31.206
31.932,32.177,32.177,32.439,31.722,31.206,30.78
32.177,32.177,32.439,31.722,31.206,30.78,31.184
32.177,32.439,31.722,31.206,30.78,31.184,32.237
32.439,31.722,31.206,30.78,31.184,32.237,31.38
31.722,31.206,30.78,31.184,32.237,31.38,31.988
31.206,30.78,31.184,32.237,31.38,31.988,31.746
30.78,31.184,32.237,31.38,31.988,31.746,31.905
31.184,32.237,31.38,31.988,31.746,31.905,31.907
32.237,31.38,31.988,31.746,31.905,31.907,31.434
31.38,31.988,31.746,31.905,31.907,31.434,31.472
31.988,31.746,31.905,31.907,31.434,31.472,30.941
31.746,31.905,31.907,31.434,31.472,30.941,31.05
31.905,31.907,31.434,31.472,30.941,31.05,30.899
31.907,31.434,31.472,30.941,31.05,30.899,30.383
31.434,31.472,30.941,31.05,30.899,30.383,29.875
31.472,30.941,31.05,30.899,30.383,29.875,29.422
30.941,31.05,30.899,30.383,29.875,29.422,29.448
31.05,30.899,30.383,29.875,29.422,29.448,28.651
30.899,30.383,29.875,29.422,29.448,28.651,28.729
